"filename", "language", "SCSS", "JavaScript", "JSON", "PostCSS", "Vue", "Markdown", "XML", "HTML", "JSON with Comments", "comment", "blank", "total"
"g:\cxj\front\cxj\main.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 0, 0, 10, 16, 70
"g:\cxj\front\cxj\manifest.json", "JSON", 0, 0, 160, 0, 0, 0, 0, 0, 0, 0, 1, 161
"g:\cxj\front\cxj\mixins\smsCode.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 0, 0, 3, 4, 57
"g:\cxj\front\cxj\package-lock.json", "JSON", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"g:\cxj\front\cxj\package.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 17
"g:\cxj\front\cxj\pages-community\components\like-unlike-btn.vue", "Vue", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 3, 38
"g:\cxj\front\cxj\pages-community\components\post\post-evaluate-card.vue", "Vue", 0, 0, 0, 0, 153, 0, 0, 0, 0, 16, 5, 174
"g:\cxj\front\cxj\pages-community\components\post\post-recommend-goods.vue", "Vue", 0, 0, 0, 0, 57, 0, 0, 0, 0, 5, 6, 68
"g:\cxj\front\cxj\pages-mall\components\after-sales\back-goods.vue", "Vue", 0, 0, 0, 0, 72, 0, 0, 0, 0, 6, 5, 83
"g:\cxj\front\cxj\pages-mall\components\after-sales\back-money.vue", "Vue", 0, 0, 0, 0, 77, 0, 0, 0, 0, 6, 6, 89
"g:\cxj\front\cxj\pages-mall\components\after-sales\back-status.vue", "Vue", 0, 0, 0, 0, 57, 0, 0, 0, 0, 3, 4, 64
"g:\cxj\front\cxj\pages-mall\components\after-sales\select-item.vue", "Vue", 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 3, 76
"g:\cxj\front\cxj\pages-mall\components\evaluate-card.vue", "Vue", 0, 0, 0, 0, 106, 0, 0, 0, 0, 3, 4, 113
"g:\cxj\front\cxj\pages-mall\components\goods\goods-info.vue", "Vue", 0, 0, 0, 0, 133, 0, 0, 0, 0, 2, 3, 138
"g:\cxj\front\cxj\pages-mall\components\goods\goods-operate.vue", "Vue", 0, 0, 0, 0, 158, 0, 0, 0, 0, 21, 12, 191
"g:\cxj\front\cxj\pages-mall\components\goods\goods-select-sku.vue", "Vue", 0, 0, 0, 0, 241, 0, 0, 0, 0, 12, 14, 267
"g:\cxj\front\cxj\pages-mall\components\goods\goods-select.vue", "Vue", 0, 0, 0, 0, 82, 0, 0, 0, 0, 2, 4, 88
"g:\cxj\front\cxj\pages-mall\components\line-info-operate.vue", "Vue", 0, 0, 0, 0, 54, 0, 0, 0, 0, 1, 3, 58
"g:\cxj\front\cxj\pages-mall\components\navbar-search.vue", "Vue", 0, 0, 0, 0, 92, 0, 0, 0, 0, 4, 5, 101
"g:\cxj\front\cxj\pages-mall\components\navbar-tab-search.vue", "Vue", 0, 0, 0, 0, 121, 0, 0, 0, 0, 22, 22, 165
"g:\cxj\front\cxj\pages-mall\components\order\express-goods-card.vue", "Vue", 0, 0, 0, 0, 75, 0, 0, 0, 0, 1, 3, 79
"g:\cxj\front\cxj\pages-mall\components\order\order-card.vue", "Vue", 0, 0, 0, 0, 327, 0, 0, 0, 0, 26, 30, 383
"g:\cxj\front\cxj\pages-mall\components\order\order-goods-card.vue", "Vue", 0, 0, 0, 0, 173, 0, 0, 0, 0, 11, 23, 207
"g:\cxj\front\cxj\pages-mall\components\order\order-operate.vue", "Vue", 0, 0, 0, 0, 187, 0, 0, 0, 0, 7, 13, 207
"g:\cxj\front\cxj\pages-mall\components\order\order-status.vue", "Vue", 0, 0, 0, 0, 80, 0, 0, 0, 0, 24, 11, 115
"g:\cxj\front\cxj\pages-mall\components\order\submit-discounts.vue", "Vue", 0, 0, 0, 0, 143, 0, 0, 0, 0, 0, 22, 165
"g:\cxj\front\cxj\pages-mall\components\order\submit-goods-card.vue", "Vue", 0, 0, 0, 0, 90, 0, 0, 0, 0, 2, 3, 95
"g:\cxj\front\cxj\pages-mall\components\order\submit-operate.vue", "Vue", 0, 0, 0, 0, 195, 0, 0, 0, 0, 9, 12, 216
"g:\cxj\front\cxj\pages-mall\mixins\order-operate.js", "JavaScript", 0, 91, 0, 0, 0, 0, 0, 0, 0, 14, 13, 118
"g:\cxj\front\cxj\pages-mall\pages\after-sales\apply.vue", "Vue", 0, 0, 0, 0, 123, 0, 0, 0, 0, 12, 9, 144
"g:\cxj\front\cxj\pages-mall\pages\after-sales\back.vue", "Vue", 0, 0, 0, 0, 117, 0, 0, 0, 0, 9, 9, 135
"g:\cxj\front\cxj\pages-mall\pages\classify.vue", "Vue", 0, 0, 0, 0, 194, 0, 0, 0, 0, 9, 24, 227
"g:\cxj\front\cxj\pages-mall\pages\evaluate\add.vue", "Vue", 0, 0, 0, 0, 205, 0, 0, 0, 0, 19, 10, 234
"g:\cxj\front\cxj\pages-mall\pages\evaluate\list.vue", "Vue", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 3, 38
"g:\cxj\front\cxj\pages-mall\pages\goods\detail.vue", "Vue", 0, 0, 0, 0, 176, 0, 0, 0, 0, 55, 34, 265
"g:\cxj\front\cxj\pages-mall\pages\goods\list.vue", "Vue", 0, 0, 0, 0, 80, 0, 0, 0, 0, 18, 15, 113
"g:\cxj\front\cxj\pages-mall\pages\order\detail.vue", "Vue", 0, 0, 0, 0, 91, 0, 0, 0, 0, 13, 9, 113
"g:\cxj\front\cxj\pages-mall\pages\order\list.vue", "Vue", 0, 0, 0, 0, 246, 0, 0, 0, 0, 19, 26, 291
"g:\cxj\front\cxj\pages-mall\pages\order\pay-result.vue", "Vue", 0, 0, 0, 0, 239, 0, 0, 0, 0, 35, 13, 287
"g:\cxj\front\cxj\pages-mall\pages\order\pay.vue", "Vue", 0, 0, 0, 0, 261, 0, 0, 0, 0, 110, 38, 409
